5752 distinct characters collected so far.
The 650 most frequent ones are:
吴 (U+5434: wú   ): 1928 (0.09%)
刘 (U+5218: liú  ): 1924 (0.09%)
平 (U+5E73: píng ): 1924 (0.09%)
藏 (U+85CF: cáng ): 1913 (0.09%)
数 (U+6570: shù  ): 1907 (0.09%)
义 (U+4E49: yì   ): 1882 (0.09%)
成 (U+6210: chéng): 1866 (0.09%)
唐 (U+5510: táng ): 1859 (0.09%)
待 (U+5F85: dài  ): 1858 (0.09%)
计 (U+8BA1: jì   ): 1855 (0.09%)
南 (U+5357: nán  ): 1840 (0.08%)
黄 (U+9EC4: huáng): 1836 (0.08%)
阵 (U+9635: zhèn ): 1832 (0.08%)
直 (U+76F4: zhí  ): 1826 (0.08%)
夫 (U+592B: fu   ): 1810 (0.08%)
曾 (U+66FE: céng ): 1791 (0.08%)
送 (U+9001: sòng ): 1785 (0.08%)
守 (U+5B88: shǒu ): 1768 (0.08%)
忙 (U+5FD9: máng ): 1761 (0.08%)
应 (U+5E94: yīng ): 1761 (0.08%)
石 (U+77F3: shí  ): 1759 (0.08%)
难 (U+96BE: nán  ): 1758 (0.08%)
白 (U+767D: bái  ): 1757 (0.08%)
救 (U+6551: jiù  ): 1756 (0.08%)
带 (U+5E26: dài  ): 1755 (0.08%)
胜 (U+80DC: shèng): 1754 (0.08%)
第 (U+7B2C: dì   ): 1743 (0.08%)
亲 (U+4EB2: qīn  ): 1743 (0.08%)
尚 (U+5C1A: shàng): 1740 (0.08%)
本 (U+672C: běn  ): 1734 (0.08%)
青 (U+9752: qīng ): 1723 (0.08%)
欲 (U+6B32: yù   ): 1719 (0.08%)
赶 (U+8D76: gǎn  ): 1719 (0.08%)
连 (U+8FDE: lián ): 1699 (0.08%)
想 (U+60F3: xiǎng): 1687 (0.08%)
府 (U+5E9C: fǔ   ): 1682 (0.08%)
收 (U+6536: shōu ): 1678 (0.08%)
娘 (U+5A18: niang): 1669 (0.08%)
松 (U+677E: sōng ): 1668 (0.08%)
女 (U+5973: nǚ   ): 1659 (0.08%)
半 (U+534A: bàn  ): 1655 (0.08%)
随 (U+968F: suí  ): 1649 (0.08%)
立 (U+7ACB: lì   ): 1640 (0.08%)
贼 (U+8D3C: zéi  ): 1637 (0.08%)
甚 (U+751A: shén ): 1635 (0.08%)
母 (U+6BCD: mǔ   ): 1635 (0.08%)
惊 (U+60CA: jīng ): 1629 (0.07%)
并 (U+5E76: bìng ): 1627 (0.07%)
传 (U+4F20: chuán): 1616 (0.07%)
果 (U+679C: guǒ  ): 1604 (0.07%)
法 (U+6CD5: fǎ   ): 1594 (0.07%)
齐 (U+9F50: qí   ): 1589 (0.07%)
对 (U+5BF9: duì  ): 1580 (0.07%)
什 (U+4EC0: shén ): 1579 (0.07%)
管 (U+7BA1: guǎn ): 1576 (0.07%)
朝 (U+671D: cháo ): 1540 (0.07%)
北 (U+5317: běi  ): 1535 (0.07%)
空 (U+7A7A: kōng ): 1530 (0.07%)
动 (U+52A8: dòng ): 1526 (0.07%)
接 (U+63A5: jiē  ): 1526 (0.07%)
忽 (U+5FFD: hū   ): 1525 (0.07%)
汝 (U+6C5D: rǔ   ): 1523 (0.07%)
降 (U+964D: jiàng): 1521 (0.07%)
故 (U+6545: gù   ): 1514 (0.07%)
司 (U+53F8: sī   ): 1507 (0.07%)
深 (U+6DF1: shēn ): 1507 (0.07%)
更 (U+66F4: gèng ): 1503 (0.07%)
遂 (U+9042: suì  ): 1502 (0.07%)
寻 (U+5BFB: xún  ): 1498 (0.07%)
月 (U+6708: yuè  ): 1493 (0.07%)
合 (U+5408: hé   ): 1491 (0.07%)
衣 (U+8863: yī   ): 1474 (0.07%)
别 (U+522B: bié  ): 1469 (0.07%)
迎 (U+8FCE: yíng ): 1458 (0.07%)
次 (U+6B21: cì   ): 1456 (0.07%)
样 (U+6837: yàng ): 1448 (0.07%)
精 (U+7CBE: jīng ): 1433 (0.07%)
但 (U+4F46: dàn  ): 1429 (0.07%)
冲 (U+51B2: chōng): 1420 (0.07%)
备 (U+5907: bèi  ): 1415 (0.07%)
经 (U+7ECF: jīng ): 1413 (0.07%)
姐 (U+59D0: jie  ): 1405 (0.06%)
字 (U+5B57: zì   ): 1393 (0.06%)
左 (U+5DE6: zuǒ  ): 1393 (0.06%)
礼 (U+793C: lǐ   ): 1392 (0.06%)
光 (U+5149: guāng): 1387 (0.06%)
向 (U+5411: xiàng): 1386 (0.06%)
诸 (U+8BF8: zhū  ): 1385 (0.06%)
七 (U+4E03: qī   ): 1360 (0.06%)
杨 (U+6768: yáng ): 1359 (0.06%)
眼 (U+773C: yǎn  ): 1357 (0.06%)
休 (U+4F11: xiū  ): 1356 (0.06%)
魏 (U+9B4F: wèi  ): 1349 (0.06%)
船 (U+8239: chuán): 1347 (0.06%)
红 (U+7EA2: hóng ): 1345 (0.06%)
权 (U+6743: quán ): 1342 (0.06%)
虎 (U+864E: hǔ   ): 1340 (0.06%)
厮 (U+53AE: sī   ): 1328 (0.06%)
亦 (U+4EA6: yì   ): 1326 (0.06%)
许 (U+8BB8: xǔ   ): 1315 (0.06%)
退 (U+9000: tuì  ): 1310 (0.06%)
枪 (U+67AA: qiāng): 1305 (0.06%)
似 (U+4F3C: shì  ): 1301 (0.06%)
唤 (U+5524: huàn ): 1300 (0.06%)
臣 (U+81E3: chén ): 1300 (0.06%)
凤 (U+51E4: fèng ): 1297 (0.06%)
沙 (U+6C99: shā  ): 1291 (0.06%)
点 (U+70B9: diǎn ): 1289 (0.06%)
般 (U+822C: bān  ): 1274 (0.06%)
差 (U+5DEE: chà  ): 1272 (0.06%)
星 (U+661F: xīng ): 1271 (0.06%)
余 (U+4F59: yú   ): 1271 (0.06%)
近 (U+8FD1: jìn  ): 1266 (0.06%)
伏 (U+4F0F: fú   ): 1263 (0.06%)
六 (U+516D: liù  ): 1261 (0.06%)
布 (U+5E03: bù   ): 1254 (0.06%)
告 (U+544A: gào  ): 1250 (0.06%)
首 (U+9996: shǒu ): 1247 (0.06%)
重 (U+91CD: zhòng): 1246 (0.06%)
右 (U+53F3: yòu  ): 1245 (0.06%)
力 (U+529B: lì   ): 1240 (0.06%)
香 (U+9999: xiāng): 1240 (0.06%)
虽 (U+867D: suī  ): 1235 (0.06%)
爷 (U+7237: ye   ): 1226 (0.06%)
房 (U+623F: fáng ): 1224 (0.06%)
矣 (U+77E3: yǐ   ): 1222 (0.06%)
乱 (U+4E71: luàn ): 1212 (0.06%)
少 (U+5C11: shǎo ): 1210 (0.06%)
学 (U+5B66: xué  ): 1208 (0.06%)
既 (U+65E2: jì   ): 1207 (0.06%)
宫 (U+5BAB: gōng ): 1202 (0.06%)
喝 (U+559D: hē   ): 1201 (0.06%)
变 (U+53D8: biàn ): 1192 (0.05%)
庄 (U+5E84: zhuāng): 1191 (0.05%)
受 (U+53D7: shòu ): 1188 (0.05%)
旗 (U+65D7: qí   ): 1184 (0.05%)
须 (U+987B: xū   ): 1182 (0.05%)
情 (U+60C5: qíng ): 1181 (0.05%)
仙 (U+4ED9: xian ): 1180 (0.05%)
谁 (U+8C01: shuí ): 1176 (0.05%)
保 (U+4FDD: bǎo  ): 1176 (0.05%)
位 (U+4F4D: wèi  ): 1176 (0.05%)
莫 (U+83AB: mò   ): 1175 (0.05%)
性 (U+6027: xìng ): 1174 (0.05%)
逵 (U+9035: kuí  ): 1172 (0.05%)
宗 (U+5B97: zōng ): 1171 (0.05%)
物 (U+7269: wù   ): 1170 (0.05%)
非 (U+975E: fēi  ): 1167 (0.05%)
银 (U+94F6: yín  ): 1166 (0.05%)
京 (U+4EAC: jīng ): 1163 (0.05%)
远 (U+8FDC: yuǎn ): 1159 (0.05%)
谢 (U+8C22: xiè  ): 1157 (0.05%)
婆 (U+5A46: pó   ): 1155 (0.05%)
议 (U+8BAE: yì   ): 1150 (0.05%)
功 (U+529F: gōng ): 1148 (0.05%)
化 (U+5316: huà  ): 1146 (0.05%)
观 (U+89C2: guān ): 1145 (0.05%)
投 (U+6295: tóu  ): 1144 (0.05%)
落 (U+843D: luò  ): 1126 (0.05%)
条 (U+6761: tiáo ): 1120 (0.05%)
毕 (U+6BD5: bì   ): 1119 (0.05%)
留 (U+7559: liú  ): 1117 (0.05%)
转 (U+8F6C: zhuǎn): 1115 (0.05%)
怒 (U+6012: nù   ): 1111 (0.05%)
归 (U+5F52: guī  ): 1111 (0.05%)
君 (U+541B: jūn  ): 1111 (0.05%)
干 (U+5E72: gàn  ): 1106 (0.05%)
帝 (U+5E1D: dì   ): 1104 (0.05%)
奏 (U+594F: zòu  ): 1097 (0.05%)
洞 (U+6D1E: dòng ): 1095 (0.05%)
